iter	Passed	Remaining
934	1676	116
935	1678	114
936	1679	112
937	1680	111
938	1682	109
939	1683	107
940	1684	105
941	1686	103
942	1687	102
943	1689	100
944	1690	98
945	1692	96
946	1693	94
947	1694	92
948	1695	91
949	1697	89
950	1698	87
951	1700	85
952	1701	83
953	1703	82
954	1705	80
955	1706	78
956	1708	76
957	1709	74
958	1710	73
959	1712	71
960	1713	69
961	1714	67
962	1716	65
963	1717	64
964	1718	62
965	1720	60
966	1721	58
967	1723	56
968	1724	55
969	1725	53
970	1727	51
971	1728	49
972	1729	48
973	1731	46
974	1732	44
975	1733	42
976	1735	40
977	1736	39
978	1738	37
979	1739	35
980	1740	33
981	1742	31
982	1743	30
983	1744	28
984	1745	26
985	1747	24
986	1748	23
987	1750	21
988	1751	19
989	1753	17
990	1754	15
991	1755	14
992	1757	12
993	1758	10
994	1759	8
995	1760	7
996	1762	5
997	1763	3
998	1764	1
999	1766	0
